title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,l3
旅行/徒步/户外背包，带钢制内胆和防雨罩（容量40升和50升）#096 #098,#40L - 黑色,40.9,https://cf.shopee.ph/file/f88e0d6696711eb37618a841deb0d49c,http://shopee.ph/product/50112793/1822536065,男包,背包,IVCN2026061844757,3101880457 ,https://detail.1688.com/offer/982906512447.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/8/6,1822536065,,,1,
Tigernu 3143 防溅防盗背包 学校时尚旅行 男士 Mochilas Feminina 背包,黑色标准 15.6 英寸,63.76,https://cf.shopee.ph/file/9c9101078666544b0b826b1ee28b1e06,http://shopee.ph/product/162166014/2469865428,男包,背包,IVCN2026061844769,5218563141 ,https://detail.1688.com/offer/45027080477.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i8&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/8/6,2469865428,,,1,
男士商务双肩包，适用于工作、旅行，带USB接口，防盗，Crosswave,黑色的,62.47,https://cf.shopee.com.br/file/br-11134207-7r98o-maloxrk9oqrzf0,http://shopee.com.br/product/441209003/3047977128,男包,背包,IVCN2026072312183,65396015284 ,https://detail.1688.com/offer/768270233206.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/8/6,3047977128,,,1,
Balo CAMELIA BRAND® 现代背包,灰色的,30,https://cf.shopee.vn/file/1cdf3fe44fb23d983117db0224c55755,http://shopee.vn/product/233235070/4239534009,男包,背包,IVCN202607292060,30991161084 ,https://detail.1688.com/offer/961959788186.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bb405a417720990554614212e1024&token=%2BACtFyo79CjippURlotZiaEIuNPnOu4q3VJ%2F0qFOIPJ3VkQQnjGineJxU6ch2MB0,,2026/8/6,4239534009,,,3,
Balo CAMELIA BRAND® 现代背包,粉色的,29,https://cf.shopee.vn/file/sg-11134201-22110-8j5dotfy0gjvd3,http://shopee.vn/product/233235070/4239534009,男包,背包,IVCN202607292060,29249288560 ,https://detail.1688.com/offer/898867253485.html?spm=a26352.b28411319/2508.0.0,,2026/8/6,4239534009,,,3,
Balo CAMELIA BRAND® 现代背包,海军蓝,43.01,https://cf.shopee.vn/file/f68f5ccb7c96b23fe1da69882b4ce4ec,http://shopee.vn/product/233235070/4239534009,男包,背包,IVCN202607292060,42457147792 ,https://detail.1688.com/offer/869186782076.html?spm=a26352.b28411319.offerlist.56.66861e62Xp0FNA,,2026/8/6,4239534009,,,3,
David Jones Paris 男士双肩包，2023 年时尚系列，适合学生使用,黑色的,51.07,https://cf.shopee.ph/file/cn-11134207-7ras8-m11eucwy2n3e7d,http://shopee.ph/product/172114914/4589844942,男包,背包,IVCN2026061844827,75588321743 ,https://detail.1688.com/offer/709381957248.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,,2026/8/6,4589844942,,,1,
Balo CAMELIA BRAND® 基础款背包,奶油,8.5,https://cf.shopee.vn/file/vn-11134207-7ra0g-m6oy6zxii1y093,http://shopee.vn/product/233235070/4718651905,男包,背包,IVCN2026072312191,198249798477 ,https://detail.1688.com/offer/795236700950.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/8/6,4718651905,,,6,
Balo CAMELIA BRAND® 基础款背包,海军,8.8,https://cf.shopee.vn/file/ffd068faa1d7cb540c603436c716747d,http://shopee.vn/product/233235070/4718651905,男包,背包,IVCN2026072312191,60827686253 ,https://detail.1688.com/offer/733270730771.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/8/6,4718651905,,,6,
Balo CAMELIA BRAND® 基础款背包,是,8.8,https://cf.shopee.vn/file/51a3b51b54d390716922ff42e5838e1c,http://shopee.vn/product/233235070/4718651905,男包,背包,IVCN2026072312191,136717246867 ,https://detail.1688.com/offer/733270730771.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,,2026/8/6,4718651905,,,6,
